Id,Sex,Age,Height,Weight,Sport
714,1,21,154,53,1
715,1,21,154,53,1
716,1,21,154,53,1
717,1,25,154,53,1
718,1,25,154,53,1
719,1,25,154,53,1
720,1,25,154,53,1
721,1,25,154,53,1
722,1,25,154,53,1
723,1,25,154,53,1
724,1,25,154,53,1
725,1,21,156,55,1
726,1,21,156,55,1
727,1,21,156,55,1
728,1,21,156,55,1
729,1,21,156,55,1
730,1,21,156,55,1
731,1,21,156,55,1
732,1,21,156,55,1
733,0,22,162,57,1
734,1,26,167,65,1
735,1,26,167,65,1
736,1,23,162,57,1
737,0,17,159,50,1
738,0,17,159,50,1
739,0,17,159,50,1
740,0,17,159,50,1
741,0,17,159,50,1
742,0,17,159,50,1
743,1,19,162,57,1
744,1,21,162,54,1
745,1,21,162,54,1
746,1,21,162,54,1
747,1,21,162,54,1
748,1,26,162,57,1
749,1,26,162,57,1
750,1,26,162,57,1
751,1,26,162,57,1
752,1,26,162,57,1
753,1,26,162,57,1
754,1,26,162,57,1
755,1,26,162,57,1
756,0,23,163,55,1
757,0,23,163,55,1
758,0,23,163,55,1
759,0,23,163,55,1
760,0,23,163,55,1
761,0,23,163,55,1
762,1,30,162,57,1
763,0,22,156,52,1
764,0,22,156,52,1
765,0,22,156,52,1
766,0,22,156,52,1
767,0,22,156,52,1
768,0,22,156,52,1
769,1,20,172,66,1
770,1,20,172,66,1
771,1,20,172,66,1
772,1,20,172,66,1
773,1,20,172,66,1
774,1,20,172,66,1
775,1,20,172,66,1
776,1,20,172,66,1
777,0,21,167,67,1
778,0,21,167,67,1
779,0,21,167,67,1
780,0,21,167,67,1
781,0,21,167,67,1
782,1,19,171,63,1
783,1,19,171,63,1
784,1,19,171,63,1
785,1,19,171,63,1
786,1,19,171,63,1
787,1,19,171,63,1
788,1,19,171,63,1
789,1,23,171,63,1
790,1,23,171,63,1
791,1,23,171,63,1
792,1,23,171,63,1
793,1,23,171,63,1
794,1,23,171,63,1
795,1,23,171,63,1
796,1,27,171,63,1
797,1,27,171,63,1
798,1,27,171,63,1
799,1,27,171,63,1
800,1,27,171,63,1
801,1,27,171,63,1
802,1,27,171,63,1
803,1,23,162,57,1
804,1,23,162,57,1
805,1,23,162,57,1
806,1,23,162,57,1
807,1,23,162,57,1
808,1,23,162,57,1
809,1,23,162,57,1
810,1,23,162,57,1
811,1,23,162,57,1
812,1,23,162,57,1
813,1,23,162,57,1
814,1,23,162,57,1
815,1,20,162,57,1
816,1,20,162,57,1
817,1,20,162,57,1
818,1,20,162,57,1
819,1,20,162,57,1
820,1,20,162,57,1
821,1,20,162,57,1
822,1,20,162,57,1
823,1,28,162,57,1
824,1,28,162,57,1
825,1,28,162,57,1
826,1,28,162,57,1
827,1,28,162,57,1
828,1,28,162,57,1
829,1,28,162,57,1
830,1,28,162,57,1
831,1,23,162,57,1
832,1,21,173,64,1
833,1,21,173,64,1
834,1,21,173,64,1
835,1,21,173,64,1
836,1,21,173,64,1
837,1,21,173,64,1
838,1,21,173,64,1
839,1,21,173,64,1
840,0,16,157,46,1
841,0,16,157,46,1
842,0,16,157,46,1
843,0,16,157,46,1
844,0,16,157,46,1
845,0,20,157,46,1
846,0,20,157,46,1
847,0,20,157,46,1
848,0,20,157,46,1
849,0,20,157,46,1
850,0,20,157,46,1
851,1,21,165,65,1
852,1,21,165,65,1
853,1,21,165,65,1
854,1,21,165,65,1
855,1,21,165,65,1
856,1,21,165,65,1
857,1,21,165,65,1
858,1,25,165,65,1
859,1,25,165,65,1
860,1,25,165,65,1
861,1,25,165,65,1
862,1,25,165,65,1
863,1,25,165,65,1
864,1,25,165,65,1
865,1,25,165,65,1
866,0,15,148,40,1
867,0,15,148,40,1
868,0,15,148,40,1
869,0,15,148,40,1
870,0,15,148,40,1
871,0,15,148,40,1
872,1,23,162,57,1
873,0,18,157,52,1
874,0,18,157,52,1
875,0,18,157,52,1
876,0,18,157,52,1
877,0,18,157,52,1
878,0,18,157,52,1
879,0,16,158,50,1
880,0,16,158,50,1
881,0,16,158,50,1
882,0,18,162,45,1
883,0,18,162,45,1
884,0,18,162,45,1
885,0,18,162,45,1
886,0,18,162,45,1
887,1,23,171,57,1
888,1,23,171,57,1
889,1,23,171,57,1
890,1,23,162,57,1
891,1,23,162,57,1
892,1,23,162,57,1
893,1,23,162,57,1
894,1,23,162,57,1
895,1,23,162,57,1
896,1,23,162,57,1
897,1,23,162,57,1
898,1,21,166,63,1
899,1,21,166,63,1
900,1,21,166,63,1
901,1,21,166,63,1
902,1,21,166,63,1
903,1,21,166,63,1
904,1,21,166,63,1
905,1,21,166,63,1
906,0,19,155,59,1
907,0,19,155,59,1
908,0,19,155,59,1
909,0,19,155,59,1
910,0,16,158,44,1
911,0,16,158,44,1
912,0,16,158,44,1
913,0,16,158,44,1
914,0,16,158,44,1
915,0,16,158,44,1
916,0,20,158,44,1
917,0,20,158,44,1
918,0,20,158,44,1
919,0,20,158,44,1
920,0,20,158,44,1
921,0,20,158,44,1
922,1,24,167,62,1
923,1,24,167,62,1
924,1,24,167,62,1
925,1,24,167,62,1
926,1,24,167,62,1
927,1,24,167,62,1
928,1,24,167,62,1
